state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
305060,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
306150,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1090
307240,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
308360,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1120
309520,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1160
310610,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
311720,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1110
312850,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1130
313990,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1140
315100,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1110
316240,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1140
317300,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1060
318370,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1070
319470,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
320580,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1110
321730,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1150
322860,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1130
323990,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
325150,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1160
326280,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
327430,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1150
328570,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1140
329700,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1130
330830,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
331980,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1150
333100,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1120
334230,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
335360,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
336490,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
337660,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1170
338780,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1120
339910,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
341040,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
342180,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1140
343330,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1150
344490,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1160
345580,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1090
346730,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
347850,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1120
348970,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1120
350080,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1110
351180,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1100
352310,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1130
353420,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1110
354540,max,51.3,25.299999999999997,10.300000000000004,0.225,1110,1120
355670,max,51.3,25.299999999999997,10.300000000000004,0.225,1120,1130
356800,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
357930,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
359000,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1070
360130,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1130
361270,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1140
362370,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1100
363560,max,51.3,25.299999999999997,10.300000000000004,0.225,1130,1190
364950,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1390
