state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
308346,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1160
309516,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
310656,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1140
311826,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
312976,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1150
314156,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1180
315316,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
316466,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1150
317626,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
318796,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1170
319956,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
321126,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1170
322296,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
323456,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1160
324616,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
325786,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
326956,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
328106,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1150
329306,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1200
330446,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1140
331606,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
332766,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
333916,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1150
335096,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1180
336236,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1140
337396,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
338556,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
339716,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1160
340916,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1200
342086,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1170
343256,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
344436,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1180
345576,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1140
346756,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1180
347896,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1140
349076,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
350206,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1130
351376,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
352546,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
353716,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1170
354856,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1140
356016,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1160
357166,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1150
358336,max,51.3,25.299999999999997,10.300000000000004,0.225,1160,1170
359486,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
360616,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1130
361796,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1180
362936,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1140
364076,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1140
365216,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1140
366376,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1160
367506,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1130
368656,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1150
369816,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1160
370926,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1110
372076,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
373226,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
374376,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
375526,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
376656,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1130
377826,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1170
378966,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1140
380106,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1140
381266,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1160
382416,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
383536,max,51.3,25.299999999999997,10.300000000000004,0.225,1140,1120
384686,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
385826,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1140
386976,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1150
388146,max,51.3,25.299999999999997,10.300000000000004,0.225,1150,1170
