state_time,ank_ang,mot_ang,mot_cur
16165,5261,40033,798
16175,5253,39943,797
16185,5248,39868,799
16195,5244,39812,793
16205,5239,39772,800
16215,5236,39717,812
16225,5228,39625,800
16235,5220,39530,796
16245,5214,39442,799
16255,5208,39377,797
16265,5204,39333,797
16275,5200,39271,804
16285,5191,39180,792
16295,5183,39085,795
16305,5177,39002,800
16315,5171,38945,806
16325,5166,38882,805
16335,5160,38801,797
16345,5152,38704,799
16355,5142,38589,793
16365,5135,38486,803
16375,5126,38404,795
16385,5120,38318,803
16395,5111,38215,800
16405,5102,38096,799
16415,5092,37974,799
16425,5082,37846,792
16435,5071,37711,799
16445,5060,37582,805
16455,5051,37468,802
16465,5042,37354,802
16475,5030,37207,788
16485,5018,37047,789
16495,5005,36892,803
16505,4993,36747,801
16515,4982,36628,809
16525,4973,36513,807
16535,4962,36370,788
16545,4949,36207,798
16555,4937,36061,804
16565,4926,35932,801
16575,4917,35817,811
16585,4907,35706,796
16595,4898,35592,801
16605,4886,35456,791
16615,4876,35321,797
16625,4865,35210,810
16635,4856,35106,800
16645,4847,34999,798
16655,4838,34891,802
16665,4830,34793,799
16675,4822,34704,797
16685,4813,34619,800
16695,4806,34523,795
16705,4798,34432,794
16715,4791,34356,799
16725,4784,34270,803
16735,4776,34158,791
16745,4769,34042,796
16755,4761,33953,802
16765,4754,33883,804
16775,4747,33788,793
16785,4739,33678,795
16795,4731,33563,808
16805,4722,33457,809
16815,4714,33357,802
16825,4706,33254,795
16835,4699,33155,804
16845,4692,33062,800
16855,4685,32974,800
16865,4677,32871,792
16875,4669,32750,802
16885,4660,32626,795
16895,4653,32523,810
16905,4645,32429,799
16915,4639,32340,806
16925,4630,32237,797
16935,4623,32133,804
16945,4615,32030,794
16955,4607,31921,801
16965,4598,31791,793
16975,4589,31669,803
16985,4581,31576,808
16985,4581,31576,808
17005,4568,31405,795
17015,4561,31304,795
17025,4554,31202,794
17035,4546,31114,802
17045,4538,31014,799
17055,4531,30911,798
17065,4523,30806,799
17075,4516,30724,799
17085,4510,30649,801
17095,4504,30566,803
17105,4496,30468,796
17115,4489,30372,801
17125,4482,30284,802
17135,4476,30210,800
17145,4469,30132,806
17155,4462,30032,795
17165,4454,29925,802
17175,4446,29823,800
17185,4440,29742,799
17195,4433,29652,801
17205,4424,29554,800
17215,4413,29436,796
17225,4405,29331,804
17235,4396,29236,800
17245,4388,29138,800
17255,4378,29026,788
17265,4370,28913,794
17275,4361,28819,808
17285,4354,28713,800
17295,4342,28588,797
17305,4332,28466,798
17315,4322,28362,808
17325,4314,28251,790
17335,4304,28131,801
17345,4294,28014,808
17355,4284,27903,806
17365,4276,27788,792
17375,4264,27661,796
17385,4253,27538,801
17395,4244,27426,805
17405,4233,27311,795
17415,4225,27205,803
17425,4216,27104,800
17435,4208,27021,804
17445,4201,26925,801
17455,4193,26827,801
17465,4183,26724,797
17475,4176,26639,804
17485,4171,26573,795
17495,4164,26507,800
17505,4157,26424,807
17515,4148,26327,796
17525,4140,26238,798
17535,4134,26163,800
17545,4129,26098,806
17555,4122,26014,799
17565,4113,25925,800
17575,4106,25837,793
17585,4099,25768,799
17595,4095,25707,806
17605,4086,25619,803
17615,4078,25509,801
17625,4069,25397,801
17635,4061,25309,805
17645,4055,25233,797
17655,4048,25151,796
17665,4041,25055,800
17675,4032,24958,799
17685,4024,24874,803
17695,4017,24789,800
17705,4010,24705,805
17715,4002,24602,790
17725,3993,24495,798
17735,3985,24392,797
17745,3978,24311,797
17755,3970,24225,795
17765,3964,24140,802
17775,3954,24039,799
17785,3948,23941,804
17795,3940,23848,793
17805,3932,23758,801
